AGN TKE
AGN JNU
AGM SGG
AGM KUS
AGM TQI
AGM IOQ
AGM KUZ
AGH BMA
AGH ARN
AGF DCM
AGF ORY
DAV PAC
DAV SJO
AGB MRS
AGA CMN
AGA LIL
AGA MUC
AGA CRL
AGA SXF
AGA LYS
AGA RAK
AGA LUX
AGA AMS
AGA FRA
AGA EUN
AGA MRS
AGA DUS
AGA LPA
AGA CDG
AGA ORY
AGA BRU
AGA LGG
AGA VIL
AGA LGW
AGA LEJ
AGA MAN
NYU HEH
NYU MDL
NYU RGN
NYK MRE
NYK UAS
NYK WIL
NYI ACC
NYO BCN
NYO SKP
NYO TSF
NYO CIA
NYO ALC
NYO SKG
NYO BGY
NYO CRL
NYO BZR
NYO POZ
NYO AGP
NYO PMI
NYO BUD
NYO BIQ
NYO MLA
NYO STN
NYO KTW
NYO BEG
NYO CHQ
NYO WMI
NYO WAW
NYO KRK
NYO ZAD
NYO PSA
NYO AHO
NYO PFO
NYO BVA
NYO RHO
NYO BRE
NYO RJK
NYO GDN
AGX COK
XBE MSA
XBE YTL
XBE YAX
XBE YXL
AGU MTY
AGU IAH
AGU DFW
AGU LAX
AGU TIJ
AGU CUN
AGU MEX
AGT GRU
AGT ASU
AGS CLT
AGS ATL
AGS DCA
AGR VNS
AGR BOM
AGR HJR
AGP CPH
AGP LIL
AGP RYG
AGP BGO
AGP BOH
AGP HEL
AGP EXT
AGP GSE
AGP LIS
AGP BGY
AGP BOD
AGP PRG
AGP PIK
AGP SXF
AGP LYS
AGP LBA
AGP SVO
AGP HAJ
AGP HAM
AGP WRO
AGP MRS
AGP BFS
AGP LPL
AGP LHR
AGP HAU
AGP LPA
AGP VIE
AGP SNN
AGP BVA
AGP MAD
AGP BVE
AGP MAN
AGP CMN
AGP EMA
AGP DME
AGP DTM
AGP TSF
AGP CRL
AGP RTM
AGP VLC
AGP OSL
AGP AMS
AGP SCQ
AGP FKB
AGP BUD
AGP OVD
AGP BLQ
AGP TRD
AGP TRF
AGP BLL
AGP XRY
AGP BLK
AGP BTS
AGP MXP
AGP NOC
AGP TMP
AGP BCN
AGP LUX
AGP GLA
AGP IST
AGP MUC
AGP CGN
AGP BSL
AGP SEN
AGP NUE
AGP PMI
AGP FCO
AGP TLS
AGP FRA
AGP DUB
AGP FMO
AGP FMM
AGP WAW
AGP DUS
AGP LTN
AGP CDG
AGP MMX
AGP ORY
AGP BRU
AGP EDI
AGP BRS
AGP ORK
AGP BRE
AGP NTE
AGP CIA
AGP AAL
AGP IBZ
AGP AAR
AGP LCY
AGP EIN
AGP BIO
AGP TXL
AGP SOF
AGP SOU
AGP FAO
AGP SVG
AGP STN
AGP GVA
AGP MLN
AGP CWL
AGP STR
AGP VKO
AGP GOT
AGP ZRH
AGP TFN
AGP VST
AGP NRN
AGP SDR
AGP KRK
AGP BHD
AGP HHN
AGP BHX
AGP NCL
AGP YUL
AGP LGW
AGP ARN
KYK KLN
BWT MEL
BWT LST
BWT KNS
SPP LAD
SPP VPE
SPP NOV
NDU ERS
NDU MPA
SPR ORZ
SPR SQS
SPR CZH
SPR TZA
SPR BZE
SPR BCV
SPR CUK
SPS DFW
SPU CPH
SPU DTM
SPU LIL
SPU HAJ
SPU ATH
SPU HEL
SPU MUC
SPU BSL
SPU PRG
SPU TXL
SPU CGN
SPU RTM
SPU OSI
SPU OSL
SPU ZRH
SPU NUE
SPU FCO
SPU FRA
SPU HAM
SPU GVA
SPU BEG
SPU LHR
SPU STR
SPU WAW
SPU GOT
SPU DUS
SPU TLL
SPU CDG
SPU VIE
SPU ZAG
SPU LYS
SPU BHX
SPU MAN
SPU RJK
SPU LGW
SPU ARN
SPU DBV
SPI ORD
SPI DFW
SPI SFB
SPI PGD
PKA WNA
PKA BET
SPN KIX
SPN ICN
SPN NGO
SPN GUM
